Title,Name of Software Company,,GCU Contact,Date Submitted,Date of Launch,Date of Renewal
Dashlane,"Dashlane, Inc",,,8/6/19,8/6/19,8/6/19
Dashline,,,,1/25/17,11/29/22,
Data Project VolleyBall EScoresheets,,,,1/17/17,1/17/17,1/17/17
Data Volley 4,Genius Sports Media Inc,,,10/7/20,10/7/20,10/7/20
DatAdvantage,Custom Storage Inc,,,12/28/20,12/28/20,12/28/20
Datatel,,,,1/22/20,1/1/20,1/1/20
DataVolley,Data Project USA,,,4/6/20,4/6/20,4/6/20
Davinci Resolve,,,,8/6/19,8/6/19,8/6/19
Davinci Resolve,,2076.24,,8/6/19,11/29/22,
Deploybot,Deploybot,,,11/19/20,11/19/20,11/19/20
Desktop and Online Mixing System Desktop Version,,,,7/10/17,7/10/17,7/10/17
Diamond System Builder,,,,2/28/22,11/29/22,
Die,,,,8/6/19,11/29/22,
DietMaster Pro,,,,8/6/19,11/29/22,
DiffChecker (Paid),,,,1/5/21,1/5/21,1/5/21
DigiCert SSL,DigiCert Inc,6000,,12/3/20,12/3/20,12/3/20
Discovery Accelerator,,,,8/6/19,11/29/22,
DisplayLink Manager,,,,3/3/22,11/29/22,
Docusign,"Docusign, Inc",,Emily Meador,8/31/20,8/31/20,8/31/20
Dragon Naturally Speaking,,,,8/6/19,11/29/22,
Dragonfly,,,,9/15/14,9/15/14,9/15/14
Drawings X Pro,,,,5/16/19,5/16/19,5/16/19
Dreamweaver,,,,8/6/19,8/6/19,8/6/19
Drobo Dashboard,,,,8/6/19,8/6/19,8/6/19
DropBox,DropBox inc,6988.89,Blake Morrow,8/11/20,8/11/20,8/11/20
Dropbox/Mass online storage software,,,,8/6/19,11/29/22,
DTP,,,,11/29/22,11/29/22,
Duet Display,,,,10/4/21,11/29/22,
Duplicate Tab Add On,,,,8/6/19,11/29/22,
DVSport,DVSport Inc,,,7/18/20,7/18/20,7/18/20
DWG TrueView Free,,,,8/24/16,8/24/16,8/24/16
Dymo Label Writer,,,,8/6/19,8/6/19,8/6/19
Eagle PCB,,,,5/21/21,11/29/22,
EASE Focus 3,,,,12/8/21,11/29/22,
EasyOne On-PC Connect,,,,5/28/20,5/28/20,5/28/20
Eclipse IDE EE for Java Enterprise Developers,,,,5/20/21,11/29/22,
EdConnect,,,,8/6/19,11/29/22,
E-Learning Brothers,E-Learning Brothers,,,6/12/20,6/12/20,6/12/20
Eloqua,Validity Inc,7321.01,Eloqua,9/24/20,9/24/20,9/24/20
Email Protection (TAP),Enterprise Network Solutions Inc.,85484,,5/26/20,5/26/20,5/26/20
Email Templates,Stripo Inc,,,6/16/20,6/16/20,6/16/20
EMC,,,,8/6/19,8/6/19,8/6/19
EMC Software,,,,1/23/20,1/1/20,1/1/20
EMG Analyzer,,,,8/6/19,8/6/19,8/6/19
EMS Software,Climatec LLC,,,1/30/20,1/30/20,1/30/20
