Title,"Cost Total","GCU Contact","Date Submitted","Name of Software Company","Date of Launch","Date of Renewal"
"Contact Tracing",3280,,10/17/19,Estimote,10/17/19,10/17/19
"ConTEXT Editor",,,8/6/19,,8/6/19,8/6/19
"Core FTP",,,5/21/21,,11/29/22,
Coupa,9045.75,"Jarrod Simmons",11/12/20,"Coupa Software, Inc",11/12/20,11/12/20
Coupa,943.56,"Ryan Brown",8/27/20,"Coupa Software, Inc",8/27/20,8/27/20
Coupa,,,1/20/20,"Coupa Software, Inc",1/1/20,1/1/20
Creately,59.4,,1/16/21,Creately,1/16/21,1/16/21
CreateStudio,,,4/25/22,,11/29/22,
"Creative Suite Products",,,1/1/21,Adobe,1/1/21,1/1/21
"Crestron Airmedia",,,3/3/22,,11/29/22,
Cricut,,,1/6/21,,11/29/22,
CRM,3000,,11/6/19,"Microsoft Dynamics",11/6/19,11/6/19
CRM,,,1/21/20,,1/1/20,1/1/20
CrowdStrike,52458,,1/27/20,"Optiv Security Inc",1/27/20,1/27/20
"CS Gold",,,8/6/19,,8/6/19,8/6/19
CTLQ,,,8/6/19,,8/6/19,8/6/19
"CUTE FTP",,,10/12/20,"Software One Inc",10/12/20,10/12/20
"Cutting Master 3",,,7/19/17,,7/19/17,7/19/17
CyberDuck,,,11/17/20,,11/17/20,11/17/20
"Cygwin Compiler for CLion",,,1/15/20,,1/15/20,1/15/20
"Cygwin Compiler for CLion",,,1/14/21,,11/29/22,
Cyrun,15750,,9/17/19,"Alliance Software Maintenance & Support Inv.",9/17/19,9/17/19
Dartfish,2000,,1/13/20,"Dartfish USA",1/13/20,1/13/20
DartFish,,,8/6/19,"Dartfish USA",8/6/19,8/6/19
Dashlane,,,8/6/19,"Dashlane, Inc",8/6/19,8/6/19
Dashline,,,1/25/17,,11/29/22,
"Data Project VolleyBall EScoresheets",,,1/17/17,,1/17/17,1/17/17
"Data Volley 4",600,,10/7/20,"Genius Sports Media Inc",10/7/20,10/7/20
DatAdvantage,,,12/28/20,"Custom Storage Inc",12/28/20,12/28/20
Datatel,,,1/22/20,,1/1/20,1/1/20
DataVolley,,,4/6/20,"Data Project USA",4/6/20,4/6/20
"Davinci Resolve",,,8/6/19,,8/6/19,8/6/19
"Davinci Resolve",2076.24,,8/6/19,,11/29/22,
Deploybot,600,,11/19/20,Deploybot,11/19/20,11/19/20
"Desktop and Online Mixing System Desktop Version",,,7/10/17,,7/10/17,7/10/17
"Diamond System Builder",,,2/28/22,,11/29/22,
Die,,,8/6/19,,11/29/22,
"DietMaster Pro",,,8/6/19,,11/29/22,
"DiffChecker (Paid)",,,1/5/21,,1/5/21,1/5/21
"DigiCert SSL",6000,,12/3/20,"DigiCert Inc",12/3/20,12/3/20
"Discovery Accelerator",,,8/6/19,,11/29/22,
"DisplayLink Manager",,,3/3/22,,11/29/22,
Docusign,630,"Emily Meador",8/31/20,"Docusign, Inc",8/31/20,8/31/20
"Dragon Naturally Speaking",,,8/6/19,,11/29/22,
Dragonfly,,,9/15/14,,9/15/14,9/15/14
"Drawings X Pro",,,5/16/19,,5/16/19,5/16/19
Dreamweaver,,,8/6/19,,8/6/19,8/6/19
"Drobo Dashboard",,,8/6/19,,8/6/19,8/6/19
DropBox,6988.89,"Blake Morrow",8/11/20,"DropBox inc",8/11/20,8/11/20
"Dropbox/Mass online storage software",,,8/6/19,,11/29/22,
DTP,,,11/29/22,,11/29/22,
"Duet Display",,,10/4/21,,11/29/22,
"Duplicate Tab Add On",,,8/6/19,,11/29/22,
DVSport,1000,,7/18/20,"DVSport Inc",7/18/20,7/18/20
"DWG TrueView Free",,,8/24/16,,8/24/16,8/24/16
"Dymo Label Writer",,,8/6/19,,8/6/19,8/6/19
"Eagle PCB",,,5/21/21,,11/29/22,
"EASE Focus 3",,,12/8/21,,11/29/22,
"EasyOne On-PC Connect",,,5/28/20,,5/28/20,5/28/20
"Eclipse IDE EE for Java Enterprise Developers",,,5/20/21,,11/29/22,
EdConnect,,,8/6/19,,11/29/22,
"E-Learning Brothers",3570,,6/12/20,"E-Learning Brothers",6/12/20,6/12/20
Eloqua,7321.01,Eloqua,9/24/20,"Validity Inc",9/24/20,9/24/20
"Email Protection (TAP)",85484,,5/26/20,"Enterprise Network Solutions Inc.",5/26/20,5/26/20
"Email Templates",400,,6/16/20,"Stripo Inc",6/16/20,6/16/20
EMC,,,8/6/19,,8/6/19,8/6/19
"EMC Software",,,1/23/20,,1/1/20,1/1/20
"EMG Analyzer",,,8/6/19,,8/6/19,8/6/19
"EMS Software",3569,,1/30/20,"Climatec LLC",1/30/20,1/30/20
"Endnote (plug-in works with Write-n-Cite)",,,8/6/19,,11/29/22,
"Enterprise Cloud Subscription",2800,,12/1/20,"Enterprise Cloud",12/1/20,12/1/20
"Enterprise Protectoin",,,2/14/20,"Eplus Technology Inc",2/14/20,2/14/20
"Epi Info",,,8/6/19,,8/6/19,8/6/19
eRoom,,,8/6/19,,8/6/19,8/6/19
eSpatial,,,2/13/20,"eSpatial Inc",2/13/20,2/13/20
"ESRI Licensing",3000,,9/22/20,ESRI,9/22/20,9/22/20
"Essentials Team Olympic",489,,1/5/21,"Front Rush LLC",1/5/21,1/5/21
E-Sword,,,8/6/19,,8/6/19,8/6/19
"Evaluation Kit",4725,,4/28/20,"Watermark Insights LLC",4/28/20,4/28/20
"Evaluation Kit",,,1/4/21,"Watermark Insights LLC",1/4/21,1/4/21
"Event Booking",,,4/29/20,"Cvent, Inc",4/29/20,4/29/20
"Event Booking",1250,,5/11/20,EventBooking.com,5/11/20,5/11/20
Evernote,,,11/29/22,,11/29/22,
"Evidence Sync",,,12/16/15,,12/16/15,12/16/15
"Exam View",,,1/24/20,,1/1/20,1/1/20
"Exchange admin",,,6/15/22,,6/15/22,
"Exchange admin",,,1/25/20,,1/1/20,1/1/20
"Expert TA Online",13000,,12/22/20,"Expert TA LLC",12/22/20,12/22/20
"Extended DISX",,,11/20/20,"Extended DISC North America Inc",11/20/20,11/20/20
Extensis,1842,,4/16/20,"Celartem Inc",4/16/20,4/16/20
EZProxy,5776.32,,7/22/20,"Online Computer Library Center, Inc",7/22/20,7/22/20
F.lux,,,8/6/19,,11/29/22,
"Facilities Management",,,4/27/20,"RSP Architects LTD",4/27/20,4/27/20
"FastRecruit Plus",11000,,6/19/20,"Fast Model Technologies LLC",6/19/20,6/19/20
"FastScout Plus",7000,"Don Drysdale",10/2/20,"Fast Model Technologies LLC",10/2/20,10/2/20
"FedEx Ship manager",,,8/6/19,,8/6/19,8/6/19
"Fedex Toolbox",,,6/4/19,,6/4/19,6/4/19
Fiddler,,,10/17/16,,10/17/16,10/17/16
FileBound,700,,11/30/20,"Western Office Systems",11/30/20,11/30/20
FileBound,38469.04,,3/19/20,"Western Office Systems",3/19/20,3/19/20
FileBound,,,1/26/20,,1/1/20,1/1/20
FileZilla,,,1/27/20,,1/1/20,1/1/20
"FIM â GCU â Forefront Identity Manager",,,2/16/20,,1/1/20,1/1/20
"Final Cut Pro",299.99,"Tira Montgomery",10/5/20,"Apple, Inc.",10/5/20,10/5/20
"Finale Notepad",,,8/6/19,,8/6/19,8/6/19
Firefox,,,12/29/21,,11/29/22,
"FirstCom Music",6829,"Cienna Hernandez",3/6/20,"Music Z Tunes LLC",3/6/20,3/6/20
FITBIT,,,5/3/16,,5/3/16,5/3/16
"FlashLink Program Manager",,,2/28/22,,11/29/22,
"FLEX GTS",1710,"Ha Cao",7/27/20,"Flex Rental Solutions LLC",7/27/20,7/27/20
Flipgrid,,,4/28/22,,11/29/22,
FM,,,1/28/20,,1/1/20,1/1/20
"FM Systems",4901.32,,10/15/20,"FM:Systems Group LLC",10/15/20,10/15/20
"FM Systems",61249.53,"Tira Montgomery",7/29/20,"FM: Systems Group LLC",7/29/20,7/29/20
"Font Explorer (Trial)",,,8/6/19,,11/29/22,
"Font Explorer Pro",,,8/6/19,,11/29/22,
FontLab7,,,3/19/21,,11/29/22,
Fontself,,,3/19/21,,11/29/22,
Forticlient,,,10/29/20,,11/29/22,
"Four Winds",44995.35,,12/9/20,"ConnectedSign, LLC",12/9/20,12/9/20
"Frame.io Transfer",,,11/5/20,,11/29/22,
"Freedom Scientific (JAWS)",,,8/6/19,,8/6/19,8/6/19
"Frontline Plus Solver, Excel Add-On",,,8/6/19,,8/6/19,8/6/19
FSI,,,1/29/20,,1/1/20,1/1/20
FTP,3000,,2/26/20,"FTP Today",2/26/20,2/26/20
"Fujitsu ScanSnap Software for S1500",,,2/24/21,,11/29/22,
FullStory,18725.5,,9/24/20,"FullStory Inc",9/24/20,9/24/20
FullStory,42464.3,,6/29/20,"FullStory Inc",6/29/20,6/29/20
Fundraker,14995,,8/10/20,eTeamSponsor,8/10/20,8/10/20
"Fusion (Innosoft)",,,8/6/20,,11/29/22,
"Fusion (Rock Gym Pro)",,,6/24/20,,6/24/20,6/24/20
Fuze,,,8/6/19,,11/29/22,
"G Power",,,8/6/19,,11/29/22,
"Game Plan",6356,"Don Drysdale",7/14/20,"Game Theory Group International",7/14/20,7/14/20
GameSalad,,,1/28/16,,1/28/16,1/28/16
"Garmin Express",,,10/23/16,,10/23/16,10/23/16
Gartner,41050,"Ryan Brown",9/26/19,"Gartner, Inc",9/26/19,9/26/19
Gaumard,1080.58,"Vanessa Slaughter",9/11/19,"Gaumard Scientific Co Inc",9/11/19,9/11/19
GaussView,3250,"Jessica Silva",3/27/20,Gaussian,3/27/20,3/27/20
GCE.com,,,1/31/20,,1/1/20,1/1/20
"GCU Marketing",,,2/2/20,,1/1/20,1/1/20
GCU.edu,,,1/30/20,,1/1/20,1/1/20
Gcumail.gcu.edu,,,2/1/20,,1/1/20,1/1/20
GetList,,,2/3/20,,1/1/20,1/1/20
GGLEAP,3000,"Ha Cao",11/30/20,"GGCircuit LLC",11/30/20,11/30/20
Gimp,,,8/6/19,,11/29/22,
GitHub,600,,1/15/20,"GitHub, Inc",1/15/20,1/15/20
"Go Fuse",,,7/17/15,,7/17/15,7/17/15
"Google Analytics Debugger",,,3/1/22,,11/29/22,
"Google Earth",,,8/6/19,,8/6/19,8/6/19
"GoPro Studio",,,8/6/19,,11/29/22,
GoToMeeting,,,8/6/19,,8/6/19,8/6/19
"GP Intercompany Posting",1750,,9/16/19,"Nolan Business Solutions",9/16/19,9/16/19
GradeAssist,,,11/6/19,,11/29/22,
"Great Plains",,,5/20/20,"Microsoft Dynamics",5/20/20,5/20/20
"Great Plains",,,2/4/20,,1/1/20,1/1/20
Greenshot,,,6/22/21,,11/29/22,
G-Suite,,,6/2/20,Google,6/2/20,6/2/20
"health and wellness app",1250,"Jessica Defoy",7/20/20,"BetterTime Co",7/20/20,7/20/20
